Gene	Fam	Cat
BgtE-20111	NonEff	NonEff
BgtA-20226	NonEff	NonEff
Bgt-4644	NonEff	NonEff
Bgt-4615	NonEff	NonEff
Bgt-3628	NonEff	NonEff
BgtA-21316	NonEff	NonEff
Bgt-20231-3	NonEff	NonEff
Bgt-4812	NonEff	NonEff
Bgt-3921	NonEff	NonEff
Bgt-4634	NonEff	NonEff
Bgt-326	NonEff	NonEff
Bgt-4664	NonEff	NonEff
Bgt-3935	NonEff	NonEff
Bgt-3936	NonEff	NonEff
Bgt-4646	NonEff	NonEff
Bgt-4967-2	NonEff	NonEff
Bgt-4967	NonEff	NonEff
Bgt-3934	NonEff	NonEff
Bgt-20356	NonEff	NonEff
BgtA-20755	NonEff	NonEff
Bgt-188	NonEff	NonEff
Bgt-4639	NonEff	NonEff
Bgt-3913	NonEff	NonEff
Bgt-5278	NonEff	NonEff
Bgt-3758	NonEff	NonEff
Bgt-4647	NonEff	NonEff
Bgt-50956	NonEff	NonEff
BgtAc-31498	NonEff	NonEff
Bgt-4695	NonEff	NonEff
Bgt-50950	NonEff	NonEff
Bgt-50952	NonEff	NonEff
Bgt-4832	NonEff	NonEff
Bgt-20096	NonEff	NonEff
Bgt-20026	NonEff	NonEff
Bgt-782	NonEff	NonEff
Bgt-4651	NonEff	NonEff
Bgt-4638	NonEff	NonEff
Bgt-4671	NonEff	NonEff
Bgt-4649	NonEff	NonEff
Bgt-2678	NonEff	NonEff
BgtAc-30689	NonEff	NonEff
Bgt-20688	NonEff	NonEff
Bgt-4371	NonEff	NonEff
Bgt-5465	NonEff	NonEff
Bgt-361	NonEff	NonEff
Bgt-185	NonEff	NonEff
Bgt-51656	NonEff	NonEff
BgtAc-30588	NonEff	NonEff
Bgt-463	NonEff	NonEff
Bgt-362	NonEff	NonEff
Bgt-362-2	NonEff	NonEff
Bgt-51658	NonEff	NonEff
Bgt-51657	NonEff	NonEff
BgtA-20812	NonEff	NonEff
Bgt-2146	NonEff	NonEff
Bgt-2138	NonEff	NonEff
Bgt-3656	NonEff	NonEff
BgtASP-21288	NonEff	NonEff
Bgt-51659	NonEff	NonEff
Bgt-51660	NonEff	NonEff
Bgt-51661	NonEff	NonEff
BgtA-20232	NonEff	NonEff
Bgt-3098	NonEff	NonEff
Bgt-3400	NonEff	NonEff
Bgt-4555	NonEff	NonEff
Bgt-4555-2	NonEff	NonEff
Bgt-4586	NonEff	NonEff
Bgt-4902	NonEff	NonEff
Bgt-51662	NonEff	NonEff
Bgt-60038	NonEff	NonEff
Bgt-20411	NonEff	NonEff
Bgt-20620	NonEff	NonEff
BgtA-21389	NonEff	NonEff
Bgt-1698	NonEff	NonEff
BgtA-21041	NonEff	NonEff
Bgt-1692	NonEff	NonEff
Bgt-51664	NonEff	NonEff
BgtA-20738	NonEff	NonEff
Bgt-1693	NonEff	NonEff
Bgt-60045	NonEff	NonEff
Bgt-2738	NonEff	NonEff
Bgt-2688	NonEff	NonEff
Bgt-945	NonEff	NonEff
Bgt-50148	NonEff	NonEff
Bgt-50156	NonEff	NonEff
Bgt-50154	NonEff	NonEff
Bgt-20538	NonEff	NonEff
Bgt-50155	NonEff	NonEff
Bgt-20106	NonEff	NonEff
Bgt-20919-3	NonEff	NonEff
BgtAc-30963	NonEff	NonEff
Bgt-20058	NonEff	NonEff
Bgt-4451	NonEff	NonEff
BgtA-20964	NonEff	NonEff
Bgt-4450	NonEff	NonEff
Bgt-1696	NonEff	NonEff
Bgt-50159	NonEff	NonEff
BgtA-21074	NonEff	NonEff
Bgt-4437	NonEff	NonEff
Bgt-5267	NonEff	NonEff
Bgt-5268	NonEff	NonEff
BgtA-21073	NonEff	NonEff
Bgt-1366	NonEff	NonEff
Bgt-50160	NonEff	NonEff
Bgt-20182	NonEff	NonEff
Bgt-5181	NonEff	NonEff
Bgt-4173	NonEff	NonEff
Bgt-1697	NonEff	NonEff
Bgt-1260	NonEff	NonEff
Bgt-1153	NonEff	NonEff
Bgt-1699	NonEff	NonEff
Bgt-2682	NonEff	NonEff
Bgt-3670	NonEff	NonEff
Bgt-335	NonEff	NonEff
Bgt-334	NonEff	NonEff
Bgt-50165	NonEff	NonEff
Bgt-621	NonEff	NonEff
Bgt-3024	NonEff	NonEff
Bgt-5187	NonEff	NonEff
Bgt-427	NonEff	NonEff
Bgt-719	NonEff	NonEff
Bgt-4616	NonEff	NonEff
Bgt-50515	NonEff	NonEff
Bgt-50514	NonEff	NonEff
Bgt-853	NonEff	NonEff
Bgt-854	NonEff	NonEff
BgtAc-30127	NonEff	NonEff
Bgt-4705	NonEff	NonEff
Bgt-4637-2	NonEff	NonEff
Bgt-50456	NonEff	NonEff
Bgt-804	NonEff	NonEff
Bgt-3922	NonEff	NonEff
Bgt-5279	NonEff	NonEff
Bgt-466	NonEff	NonEff
Bgt-217	NonEff	NonEff
Bgt-5043	NonEff	NonEff
Bgt-5046	NonEff	NonEff
Bgt-5046-2	NonEff	NonEff
Bgt-4544	NonEff	NonEff
Bgt-50454	NonEff	NonEff
Bgt-472	NonEff	NonEff
Bgt-9	NonEff	NonEff
Bgt-2825	NonEff	NonEff
Bgt-2829	NonEff	NonEff
Bgt-2827	NonEff	NonEff
Bgt-4617	NonEff	NonEff
Bgt-3217	NonEff	NonEff
Bgt-749	NonEff	NonEff
BgtE-3119	NonEff	NonEff
Bgt-4514	NonEff	NonEff
Bgt-51192	NonEff	NonEff
Bgt-799	NonEff	NonEff
Bgt-863	NonEff	NonEff
Bgt-51196	NonEff	NonEff
Bgt-51194	NonEff	NonEff
Bgt-51195	NonEff	NonEff
BgtAc-30640	NonEff	NonEff
BgtAc-30638	NonEff	NonEff
BgtE-1955	NonEff	NonEff
Bgt-5437	NonEff	NonEff
Bgt-1953	NonEff	NonEff
BgtA-20999	NonEff	NonEff
Bgt-1954	NonEff	NonEff
Bgt-2585	NonEff	NonEff
Bgt-1958	NonEff	NonEff
Bgt-1961	NonEff	NonEff
Bgt-1952	NonEff	NonEff
Bgt-4517	NonEff	NonEff
BgtAc-31239	NonEff	NonEff
Bgt-51198	NonEff	NonEff
BgtE-1730	NonEff	NonEff
Bgt-20887-2	NonEff	NonEff
Bgt-50613	NonEff	NonEff
BgtA-20637	NonEff	NonEff
Bgt-3604	NonEff	NonEff
Bgt-2459	NonEff	NonEff
Bgt-3241	NonEff	NonEff
Bgt-2458	NonEff	NonEff
Bgt-50623	NonEff	NonEff
Bgt-20091	NonEff	NonEff
Bgt-50652	NonEff	NonEff
BgtA-21485	NonEff	NonEff
Bgt-50657	NonEff	NonEff
Bgt-50648	NonEff	NonEff
Bgt-50653	NonEff	NonEff
BgtA-20298	NonEff	NonEff
Bgt-3167	NonEff	NonEff
Bgt-3165	NonEff	NonEff
Bgt-3062	NonEff	NonEff
BgtAc-30297	NonEff	NonEff
Bgt-5109	NonEff	NonEff
Bgt-98	NonEff	NonEff
Bgt-4266	NonEff	NonEff
Bgt-50663	NonEff	NonEff
Bgt-50659	NonEff	NonEff
Bgt-50662	NonEff	NonEff
Bgt-50661	NonEff	NonEff
Bgt-50660	NonEff	NonEff
Bgt-4073	NonEff	NonEff
BgtASP-20649	NonEff	NonEff
Bgt-50665	NonEff	NonEff
Bgt-50664	NonEff	NonEff
Bgt-20620-2	NonEff	NonEff
Bgt-3338	NonEff	NonEff
BgtA-21065	NonEff	NonEff
Bgt-2321	NonEff	NonEff
BgtA-21406	NonEff	NonEff
Bgt-50594	NonEff	NonEff
Bgt-50593	NonEff	NonEff
Bgt-4135	NonEff	NonEff
Bgt-1860	NonEff	NonEff
Bgt-741	NonEff	NonEff
Bgt-742	NonEff	NonEff
Bgt-4534	NonEff	NonEff
Bgt-2086	NonEff	NonEff
Bgt-1859	NonEff	NonEff
Bgt-5044	NonEff	NonEff
Bgt-3143	NonEff	NonEff
Bgt-3142	NonEff	NonEff
Bgt-2088	NonEff	NonEff
BgtAc-30109	NonEff	NonEff
Bgt-1862	NonEff	NonEff
Bgt-95	NonEff	NonEff
Bgt-2082	NonEff	NonEff
Bgt-5056	NonEff	NonEff
Bgt-3401	NonEff	NonEff
BgtA-20106	NonEff	NonEff
Bgt-50596	NonEff	NonEff
Bgt-5387	NonEff	NonEff
Bgt-5387-2	NonEff	NonEff
Bgt-2669	NonEff	NonEff
Bgt-50599	NonEff	NonEff
Bgt-1863	NonEff	NonEff
Bgt-3978	NonEff	NonEff
Bgt-50739	NonEff	NonEff
BgtA-21149	NonEff	NonEff
Bgt-191	NonEff	NonEff
Bgt-191-2	NonEff	NonEff
Bgt-4787	NonEff	NonEff
Bgt-1876	NonEff	NonEff
Bgt-52	NonEff	NonEff
Bgt-1891	NonEff	NonEff
Bgt-1871	NonEff	NonEff
BgtAcSP-31429	NonEff	NonEff
Bgt-1118	NonEff	NonEff
Bgt-20377	NonEff	NonEff
Bgt-20180	NonEff	NonEff
Bgt-50258	NonEff	NonEff
Bgt-2027	NonEff	NonEff
Bgt-1885	NonEff	NonEff
Bgt-2026	NonEff	NonEff
Bgt-3576	NonEff	NonEff
Bgt-3292	NonEff	NonEff
Bgt-5481	NonEff	NonEff
Bgt-5256	NonEff	NonEff
Bgt-3679	NonEff	NonEff
Bgt-2150	NonEff	NonEff
Bgt-50027	NonEff	NonEff
Bgt-50030	NonEff	NonEff
Bgt-50028	NonEff	NonEff
Bgt-50029	NonEff	NonEff
Bgt-73	NonEff	NonEff
Bgt-884	NonEff	NonEff
Bgt-4915	NonEff	NonEff
Bgt-4054	NonEff	NonEff
BgtAc-30333	NonEff	NonEff
BgtAc-30332	NonEff	NonEff
Bgt-4626	NonEff	NonEff
Bgt-914	NonEff	NonEff
Bgt-919	NonEff	NonEff
Bgt-5014	NonEff	NonEff
Bgt-765	NonEff	NonEff
Bgt-20328	NonEff	NonEff
Bgt-3114	NonEff	NonEff
Bgt-3544	NonEff	NonEff
Bgt-1711	NonEff	NonEff
BgtA-20312	NonEff	NonEff
Bgt-51535	NonEff	NonEff
Bgt-3881	NonEff	NonEff
Bgt-4774	NonEff	NonEff
Bgt-51534	NonEff	NonEff
BgtAc-30005	NonEff	NonEff
Bgt-51536	NonEff	NonEff
Bgt-729	NonEff	NonEff
Bgt-1174	NonEff	NonEff
Bgt-4657	NonEff	NonEff
Bgt-4799	NonEff	NonEff
Bgt-1332	NonEff	NonEff
Bgt-915	NonEff	NonEff
Bgt-3002	NonEff	NonEff
Bgt-4631	NonEff	NonEff
Bgt-4628	NonEff	NonEff
Bgt-51537	NonEff	NonEff
Bgt-3823	NonEff	NonEff
Bgt-51540	NonEff	NonEff
Bgt-2187	NonEff	NonEff
Bgt-3825-2	NonEff	NonEff
Bgt-51539	NonEff	NonEff
Bgt-4228	NonEff	NonEff
Bgt-2246	NonEff	NonEff
BgtA-20561	NonEff	NonEff
Bgt-4655	NonEff	NonEff
Bgt-3826	NonEff	NonEff
Bgt-4627	NonEff	NonEff
Bgt-4682	NonEff	NonEff
Bgt-4662	NonEff	NonEff
Bgt-1745	NonEff	NonEff
Bgt-1197	NonEff	NonEff
Bgt-3647	NonEff	NonEff
Bgt-21005	NonEff	NonEff
BgtA-20246	NonEff	NonEff
Bgt-2750	NonEff	NonEff
Bgt-3203	NonEff	NonEff
Bgt-4836	NonEff	NonEff
Bgt-4835-2	NonEff	NonEff
Bgt-4835	NonEff	NonEff
Bgt-50023	NonEff	NonEff
Bgt-2252	NonEff	NonEff
Bgt-50022	NonEff	NonEff
BgtA-20249	NonEff	NonEff
Bgt-21007	NonEff	NonEff
BgtE-5756	NonEff	NonEff
BgtE-5752	NonEff	NonEff
Bgt-20444	NonEff	NonEff
Bgt-20517	NonEff	NonEff
Bgt-2251	NonEff	NonEff
Bgt-2250	NonEff	NonEff
Bgt-4239	NonEff	NonEff
Bgt-4709	NonEff	NonEff
Bgt-60051	NonEff	NonEff
Bgt-5369	NonEff	NonEff
Bgt-3340	NonEff	NonEff
BgtA-20518	NonEff	NonEff
Bgt-5322	NonEff	NonEff
BgtA-20517	NonEff	NonEff
Bgt-2249	NonEff	NonEff
Bgt-50675	NonEff	NonEff
Bgt-3535	NonEff	NonEff
Bgt-2248-2	NonEff	NonEff
Bgt-50140	NonEff	NonEff
Bgt-3603	NonEff	NonEff
Bgt-1363	NonEff	NonEff
Bgt-50144	NonEff	NonEff
Bgt-50143	NonEff	NonEff
Bgt-3556	NonEff	NonEff
Bgt-3555	NonEff	NonEff
Bgt-50139	NonEff	NonEff
Bgt-51326	NonEff	NonEff
BgtAc-30480	NonEff	NonEff
Bgt-1140	NonEff	NonEff
Bgt-2924	NonEff	NonEff
Bgt-3540	NonEff	NonEff
Bgt-2869	NonEff	NonEff
BgtA-21164	NonEff	NonEff
Bgt-435	NonEff	NonEff
Bgt-3562	NonEff	NonEff
BgtA-20887	NonEff	NonEff
Bgt-51330	NonEff	NonEff
Bgt-250	NonEff	NonEff
BgtA-20302	NonEff	NonEff
Bgt-839	NonEff	NonEff
Bgt-1012	NonEff	NonEff
Bgt-2431	NonEff	NonEff
Bgt-20235	NonEff	NonEff
Bgt-5161	NonEff	NonEff
Bgt-414	NonEff	NonEff
Bgt-1022	NonEff	NonEff
Bgt-4937	NonEff	NonEff
BgtASP-20303	NonEff	NonEff
Bgt-1014	NonEff	NonEff
Bgt-1013	NonEff	NonEff
Bgt-51567	NonEff	NonEff
Bgt-5219	NonEff	NonEff
Bgt-4771	NonEff	NonEff
Bgt-4608	NonEff	NonEff
Bgt-996	NonEff	NonEff
Bgt-984	NonEff	NonEff
Bgt-1016	NonEff	NonEff
BgtE-640	NonEff	NonEff
Bgt-1021	NonEff	NonEff
Bgt-4934-2	NonEff	NonEff
Bgt-4934	NonEff	NonEff
Bgt-63	NonEff	NonEff
Bgt-4348	NonEff	NonEff
Bgt-4769	NonEff	NonEff
Bgt-4685	NonEff	NonEff
Bgt-4596	NonEff	NonEff
Bgt-1807	NonEff	NonEff
Bgt-1498	NonEff	NonEff
Bgt-156	NonEff	NonEff
Bgt-1929	NonEff	NonEff
Bgt-1801	NonEff	NonEff
Bgt-51496	NonEff	NonEff
Bgt-51495	NonEff	NonEff
Bgt-266	NonEff	NonEff
BgtE-5718	NonEff	NonEff
Bgt-51497	NonEff	NonEff
Bgt-1298	NonEff	NonEff
BgtA-20825	NonEff	NonEff
BgtA-20826	NonEff	NonEff
Bgt-51498	NonEff	NonEff
Bgt-4219	NonEff	NonEff
Bgt-2068-2	NonEff	NonEff
Bgt-2068	NonEff	NonEff
Bgt-514	NonEff	NonEff
Bgt-339	NonEff	NonEff
Bgt-51	NonEff	NonEff
Bgt-4195	NonEff	NonEff
Bgt-4196	NonEff	NonEff
BgtA-20725	NonEff	NonEff
Bgt-4224	NonEff	NonEff
Bgt-4225	NonEff	NonEff
Bgt-2269	NonEff	NonEff
Bgt-615	NonEff	NonEff
Bgt-4329	NonEff	NonEff
Bgt-864	NonEff	NonEff
Bgt-2270	NonEff	NonEff
Bgt-2271	NonEff	NonEff
Bgt-60032	NonEff	NonEff
Bgt-20351	NonEff	NonEff
Bgt-2830	NonEff	NonEff
Bgt-2272	NonEff	NonEff
Bgt-2786	NonEff	NonEff
Bgt-4236	NonEff	NonEff
BgtA-20798	NonEff	NonEff
Bgt-20164	NonEff	NonEff
Bgt-604	NonEff	NonEff
Bgt-605	NonEff	NonEff
Bgt-1512	NonEff	NonEff
Bgt-5330	NonEff	NonEff
Bgt-4202	NonEff	NonEff
Bgt-4200	NonEff	NonEff
Bgt-51879	NonEff	NonEff
BgtA-20042	NonEff	NonEff
Bgt-4207	NonEff	NonEff
Bgt-4238	NonEff	NonEff
Bgt-20590	NonEff	NonEff
Bgt-2817	NonEff	NonEff
Bgt-4519	NonEff	NonEff
Bgt-51884	NonEff	NonEff
Bgt-51880	NonEff	NonEff
Bgt-51882	NonEff	NonEff
Bgt-51886	NonEff	NonEff
Bgt-51881	NonEff	NonEff
Bgt-51883	NonEff	NonEff
Bgt-1193	NonEff	NonEff
Bgt-223	NonEff	NonEff
Bgt-3759	NonEff	NonEff
Bgt-4250	NonEff	NonEff
Bgt-5389	NonEff	NonEff
BgtA-20041	NonEff	NonEff
Bgt-11	NonEff	NonEff
Bgt-4600	NonEff	NonEff
Bgt-4251	NonEff	NonEff
Bgt-51889	NonEff	NonEff
Bgt-51890	NonEff	NonEff
Bgt-3415	NonEff	NonEff
Bgt-3416	NonEff	NonEff
BgtA-20039	NonEff	NonEff
Bgt-20314	NonEff	NonEff
Bgt-50169	NonEff	NonEff
Bgt-1053	NonEff	NonEff
Bgt-4816	NonEff	NonEff
Bgt-2540	NonEff	NonEff
Bgt-1050	NonEff	NonEff
Bgt-4040	NonEff	NonEff
Bgt-1811	NonEff	NonEff
Bgt-4209	NonEff	NonEff
Bgt-20051	NonEff	NonEff
Bgt-648	NonEff	NonEff
Bgt-648-2	NonEff	NonEff
Bgt-50747	NonEff	NonEff
Bgt-50748	NonEff	NonEff
Bgt-50746	NonEff	NonEff
Bgt-908	NonEff	NonEff
Bgt-2956	NonEff	NonEff
Bgt-4546	NonEff	NonEff
Bgt-5346	NonEff	NonEff
Bgt-235	NonEff	NonEff
Bgt-2955	NonEff	NonEff
BgtAc-31413	NonEff	NonEff
Bgt-2963	NonEff	NonEff
Bgt-2959	NonEff	NonEff
Bgt-3692	NonEff	NonEff
Bgt-4933	NonEff	NonEff
BgtA-20699	NonEff	NonEff
Bgt-893	NonEff	NonEff
Bgt-1978	NonEff	NonEff
Bgt-1306	NonEff	NonEff
Bgt-20857	NonEff	NonEff
Bgt-887	NonEff	NonEff
Bgt-887-2	NonEff	NonEff
Bgt-3166	NonEff	NonEff
Bgt-1979	NonEff	NonEff
Bgt-1853	NonEff	NonEff
Bgt-529	NonEff	NonEff
BgtA-20503	NonEff	NonEff
Bgt-3623-2	NonEff	NonEff
Bgt-50763	NonEff	NonEff
Bgt-50764	NonEff	NonEff
Bgt-2707	NonEff	NonEff
Bgt-2702	NonEff	NonEff
Bgt-2701	NonEff	NonEff
Bgt-2706	NonEff	NonEff
Bgt-2705	NonEff	NonEff
Bgt-4333	NonEff	NonEff
Bgt-2700	NonEff	NonEff
BgtAc-31247	NonEff	NonEff
Bgt-2703	NonEff	NonEff
Bgt-50762	NonEff	NonEff
Bgt-4740	NonEff	NonEff
BgtA-21040	NonEff	NonEff
Bgt-50761	NonEff	NonEff
Bgt-50760	NonEff	NonEff
Bgt-20676	NonEff	NonEff
Bgt-50757	NonEff	NonEff
Bgt-50756	NonEff	NonEff
Bgt-50755	NonEff	NonEff
Bgt-20341	NonEff	NonEff
Bgt-50753	NonEff	NonEff
Bgt-50750	NonEff	NonEff
Bgt-50743	NonEff	NonEff
Bgt-50744	NonEff	NonEff
Bgt-2713	NonEff	NonEff
Bgt-5060	NonEff	NonEff
Bgt-2714	NonEff	NonEff
Bgt-20885	NonEff	NonEff
Bgt-50509	NonEff	NonEff
Bgt-20440	NonEff	NonEff
Bgt-50508	NonEff	NonEff
Bgt-50512	NonEff	NonEff
BgtA-21466	NonEff	NonEff
Bgt-20885-2	NonEff	NonEff
Bgt-4901	NonEff	NonEff
Bgt-50511	NonEff	NonEff
Bgt-50034	NonEff	NonEff
Bgt-2807	NonEff	NonEff
Bgt-1235	NonEff	NonEff
Bgt-1234	NonEff	NonEff
Bgt-5476	NonEff	NonEff
Bgt-5182	NonEff	NonEff
BgtA-20737	NonEff	NonEff
Bgt-50506	NonEff	NonEff
Bgt-2847	NonEff	NonEff
Bgt-325	NonEff	NonEff
Bgt-2851	NonEff	NonEff
Bgt-2849	NonEff	NonEff
BgtA-20058	NonEff	NonEff
Bgt-4904	NonEff	NonEff
Bgt-3471	NonEff	NonEff
Bgt-2804	NonEff	NonEff
Bgt-548	NonEff	NonEff
Bgt-807	NonEff	NonEff
Bgt-585	NonEff	NonEff
Bgt-5504	NonEff	NonEff
Bgt-3446	NonEff	NonEff
Bgt-1785	NonEff	NonEff
Bgt-1786	NonEff	NonEff
Bgt-482	NonEff	NonEff
BgtA-20060	NonEff	NonEff
BgtAc-30061	NonEff	NonEff
Bgt-1780	NonEff	NonEff
Bgt-3037	NonEff	NonEff
Bgt-3039	NonEff	NonEff
Bgt-5183	NonEff	NonEff
Bgt-3592	NonEff	NonEff
Bgt-3558	NonEff	NonEff
Bgt-516	NonEff	NonEff
Bgt-3455	NonEff	NonEff
Bgt-3659	NonEff	NonEff
Bgt-3334	NonEff	NonEff
Bgt-2212	NonEff	NonEff
Bgt-5516	NonEff	NonEff
Bgt-2217	NonEff	NonEff
BgtAcSP-30320	NonEff	NonEff
Bgt-50437	NonEff	NonEff
Bgt-50436	NonEff	NonEff
Bgt-3426	NonEff	NonEff
BgtA-20190	NonEff	NonEff
Bgt-50439	NonEff	NonEff
Bgt-50438	NonEff	NonEff
Bgt-50440	NonEff	NonEff
Bgt-50441	NonEff	NonEff
Bgt-50435	NonEff	NonEff
Bgt-50422	NonEff	NonEff
Bgt-1492	NonEff	NonEff
Bgt-5293	NonEff	NonEff
Bgt-798	NonEff	NonEff
BgtA-21152	NonEff	NonEff
Bgt-50586	NonEff	NonEff
Bgt-20552	NonEff	NonEff
BgtA-21376	NonEff	NonEff
Bgt-2381	NonEff	NonEff
BgtA-21010	NonEff	NonEff
Bgt-50583	NonEff	NonEff
Bgt-2077	NonEff	NonEff
Bgt-5518	NonEff	NonEff
Bgt-1303	NonEff	NonEff
Bgt-4779	NonEff	NonEff
Bgt-4473	NonEff	NonEff
Bgt-1586	NonEff	NonEff
Bgt-2749	NonEff	NonEff
Bgt-50582	NonEff	NonEff
Bgt-50581	NonEff	NonEff
Bgt-5119	NonEff	NonEff
Bgt-2933	NonEff	NonEff
Bgt-2934	NonEff	NonEff
BgtE-20113	NonEff	NonEff
Bgt-206	NonEff	NonEff
Bgt-4966	NonEff	NonEff
Bgt-4672	NonEff	NonEff
Bgt-4678	NonEff	NonEff
Bgt-50580	NonEff	NonEff
Bgt-50579	NonEff	NonEff
BgtE-20059	NonEff	NonEff
Bgt-1488	NonEff	NonEff
Bgt-161	NonEff	NonEff
BgtA-21139	NonEff	NonEff
Bgt-597	NonEff	NonEff
Bgt-50576	NonEff	NonEff
BgtA-20676	NonEff	NonEff
Bgt-3572	NonEff	NonEff
BgtA-20678	NonEff	NonEff
Bgt-3542	NonEff	NonEff
Bgt-50567	NonEff	NonEff
Bgt-50566	NonEff	NonEff
Bgt-50565	NonEff	NonEff
Bgt-20207	NonEff	NonEff
Bgt-50730	NonEff	NonEff
BgtASP-20861	NonEff	NonEff
Bgt-50731	NonEff	NonEff
BgtA-20862	NonEff	NonEff
Bgt-157	NonEff	NonEff
Bgt-50734	NonEff	NonEff
Bgt-50728	NonEff	NonEff
Bgt-50870	NonEff	NonEff
Bgt-3464	NonEff	NonEff
Bgt-2820	NonEff	NonEff
BgtASP-20958	NonEff	NonEff
Bgt-688	NonEff	NonEff
Bgt-1437	NonEff	NonEff
Bgt-528	NonEff	NonEff
Bgt-50873	NonEff	NonEff
BgtA-20961	NonEff	NonEff
Bgt-20835	NonEff	NonEff
Bgt-5491	NonEff	NonEff
Bgt-51562	NonEff	NonEff
Bgt-51563	NonEff	NonEff
Bgt-51564	NonEff	NonEff
Bgt-51561	NonEff	NonEff
Bgt-5074	NonEff	NonEff
Bgt-4856	NonEff	NonEff
Bgt-51566	NonEff	NonEff
BgtA-20405	NonEff	NonEff
Bgt-983	NonEff	NonEff
Bgt-4280	NonEff	NonEff
Bgt-50019	NonEff	NonEff
Bgt-50020	NonEff	NonEff
Bgt-280	NonEff	NonEff
Bgt-989	NonEff	NonEff
Bgt-3188	NonEff	NonEff
Bgt-3180	NonEff	NonEff
Bgt-888	NonEff	NonEff
Bgt-3341	NonEff	NonEff
Bgt-982	NonEff	NonEff
Bgt-824	NonEff	NonEff
Bgt-1008	NonEff	NonEff
Bgt-4766	NonEff	NonEff
Bgt-1001	NonEff	NonEff
Bgt-502	NonEff	NonEff
Bgt-422	NonEff	NonEff
Bgt-96	NonEff	NonEff
Bgt-20131	NonEff	NonEff
Bgt-999	NonEff	NonEff
Bgt-50015	NonEff	NonEff
Bgt-50017	NonEff	NonEff
BgtA-20718	NonEff	NonEff
Bgt-50016	NonEff	NonEff
Bgt-50014	NonEff	NonEff
Bgt-976	NonEff	NonEff
Bgt-4813	NonEff	NonEff
Bgt-4813-2	NonEff	NonEff
Bgt-1158	NonEff	NonEff
Bgt-3807	NonEff	NonEff
Bgt-50012	NonEff	NonEff
BgtA-21534	NonEff	NonEff
Bgt-50011	NonEff	NonEff
Bgt-20125	NonEff	NonEff
Bgt-50686	NonEff	NonEff
Bgt-50690	NonEff	NonEff
Bgt-50691	NonEff	NonEff
Bgt-50688	NonEff	NonEff
Bgt-50692	NonEff	NonEff
Bgt-20499	NonEff	NonEff
Bgt-50909	NonEff	NonEff
Bgt-50554	NonEff	NonEff
Bgt-50412	NonEff	NonEff
Bgt-51145	NonEff	NonEff
Bgt-50555	NonEff	NonEff
Bgt-50408	NonEff	NonEff
Bgt-50409	NonEff	NonEff
Bgt-20581	NonEff	NonEff
Bgt-50556	NonEff	NonEff
Bgt-50411	NonEff	NonEff
Bgt-50414	NonEff	NonEff
Bgt-50413	NonEff	NonEff
Bgt-50560	NonEff	NonEff
Bgt-20742	NonEff	NonEff
Bgt-50907	NonEff	NonEff
Bgt-50824	NonEff	NonEff
Bgt-60033	NonEff	NonEff
Bgt-20201	NonEff	NonEff
Bgt-50828	NonEff	NonEff
Bgt-20064	NonEff	NonEff
Bgt-50827	NonEff	NonEff
Bgt-50305	NonEff	NonEff
Bgt-50829	NonEff	NonEff
Bgt-20299	NonEff	NonEff
Bgt-3609-2	NonEff	NonEff
Bgt-20323	NonEff	NonEff
Bgt-20468	NonEff	NonEff
Bgt-50312	NonEff	NonEff
Bgt-20301	NonEff	NonEff
Bgt-20301-2	NonEff	NonEff
Bgt-50313	NonEff	NonEff
Bgt-50320	NonEff	NonEff
Bgt-50325	NonEff	NonEff
Bgt-50324	NonEff	NonEff
Bgt-50323	NonEff	NonEff
Bgt-50315	NonEff	NonEff
Bgt-50316	NonEff	NonEff
Bgt-50314	NonEff	NonEff
Bgt-50317	NonEff	NonEff
Bgt-50318	NonEff	NonEff
Bgt-20145-2	NonEff	NonEff
Bgt-20477	NonEff	NonEff
Bgt-20298	NonEff	NonEff
Bgt-50327	NonEff	NonEff
Bgt-50326	NonEff	NonEff
Bgt-20476	NonEff	NonEff
Bgt-50308	NonEff	NonEff
Bgt-20297	NonEff	NonEff
Bgt-20087-2	NonEff	NonEff
Bgt-50309	NonEff	NonEff
Bgt-20169	NonEff	NonEff
Bgt-50322	NonEff	NonEff
Bgt-50310	NonEff	NonEff
Bgt-50311	NonEff	NonEff
Bgt-51806	NonEff	NonEff
Bgt-51803	NonEff	NonEff
Bgt-51802	NonEff	NonEff
Bgt-20477-2	NonEff	NonEff
Bgt-51801	NonEff	NonEff
Bgt-51805	NonEff	NonEff
Bgt-51800	NonEff	NonEff
Bgt-51798	NonEff	NonEff
Bgt-20087	NonEff	NonEff
Bgt-51797	NonEff	NonEff
BgtAc-31465	NonEff	NonEff
Bgt-51793	NonEff	NonEff
Bgt-51792	NonEff	NonEff
Bgt-20078	NonEff	NonEff
BgtAc-31129	NonEff	NonEff
Bgt-51791	NonEff	NonEff
Bgt-20767-3	NonEff	NonEff
Bgt-20767-2	NonEff	NonEff
Bgt-20313	NonEff	NonEff
Bgt-51783	NonEff	NonEff
Bgt-51769	NonEff	NonEff
Bgt-51780	NonEff	NonEff
BgtA-20272	NonEff	NonEff
Bgt-1521	NonEff	NonEff
Bgt-51768	NonEff	NonEff
Bgt-20126	NonEff	NonEff
Bgt-20303	NonEff	NonEff
Bgt-51767	NonEff	NonEff
Bgt-20535	NonEff	NonEff
